    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 248687 nathan37  20   0 6492060 361228 145908 S  16.7   1.5   4:28.45 gnome-shell
   1076 root      20   0 2694144 669136 347620 S  11.1   2.8  11:40.49 falcon-sensor-b
 322194 nathan37  20   0  235308   4960   3776 R  11.1   0.0   0:00.03 top
   2282 root      20   0 1573228  97672  17964 S   5.6   0.4   4:08.34 /opt/saltstack/
 248116 nathan37  20   0 4183092 194856  62144 R   5.6   0.8   2:00.99 Xorg
 254147 nathan37  20   0   33.1g 241968 140368 S   5.6   1.0   2:28.85 code
 254213 nathan37  20   0 1395.8g 444568 171920 S   5.6   1.8   0:56.58 code
 254405 nathan37  20   0 1393.9g 276776  86376 S   5.6   1.1   0:09.93 code
      1 root      20   0  176612  19328  11352 S   0.0   0.1   2:06.88 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.11 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_workqueue_
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-rcu_g
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-sync_
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-slub_
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-netns
     10 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u512:0-events_unbound
     11 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-mm_pe
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 248687 nathan37  20   0 6492060 361204 145908 S  20.8   1.5   4:30.54 gnome-shell
 254213 nathan37  20   0 1395.8g 441528 166768 S  11.7   1.8   0:57.75 code
 254147 nathan37  20   0   33.1g 237336 135676 S   8.9   1.0   2:29.74 code
 308004 nathan37  20   0  235136   7444   4360 S   7.1   0.0   0:41.91 htop
 248116 nathan37  20   0 4183092 194856  62144 S   6.4   0.8   2:01.63 Xorg
